"","Country","Site","Transect","Rugosity","hcprod_mean","gnet","Acanthastrea","Acropora","Alveopora","Astreopora","Caulastrea","Coscinaraea","Cyphastrea","Diploastrea","Echinophyllia","Echinopora","Euphyllia","Favia","Favites","Fungia","Galaxea","Goniastrea","Goniopora","Unidentified.HC","Halomitra","Hydnophora","Leptastrea","Leptoria","Leptoseris","Lobophyllia","Merulina","Montipora","Montastrea","Mycedium","Oulophyllia","Oxypora","Pachyseris","Pavona","Pectinia","Platygyra","Plerogyra","Pocillopora","Podabacia","Porites","Psammocora","Siderastrea","Turbinaria"
"1","Singapore","Djunk",1,2.039,0.919715386,-1.91601996,0,0,0,0,0,0,2.702702703,0,0,0,0,0,0,0,0.831600832,0,0,0,0,0,0,0,0,0,0,0,0,0,2.130977131,0,0,0,0,0,0,0,0,0,0,0,0
"2","Singapore","Djunk",2,2.174,1.220512196,-1.467979825,0,0,0,0.541338583,0,0,0,0,0,0,0,1.033464567,0,0,0,0,0,0,0,1.328740157,0,0,0,0,1.57480315,0,0,0,0,0,0,0,0.787401575,0,0,0,1.033464567,1.624015748,0,0,0
"3","Singapore","Djunk",3,2.023,2.434191636,0.026178364,0,0,0,0,0,0,0,0,0,0,0,1.100628931,0,0,0,0,4.769392034,0,0,0,0,0,0.628930818,0,0,0,0,0,0,0,0,1.41509434,2.830188679,0,0,0,0,0,0,0,7.285115304
"4","Singapore","Djunk",4,1.763,0.237792403,-1.843958357,0,0,0,0,0,0,2.176403207,0,0,0,0,0.801832761,0,0.343642612,0,0,0,0,0,0,0,0,0,0,0.515463918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Singapore","Djunk",5,1.789,0.419570234,-1.390569526,0,0,0,2.843315185,0,0,1.209921355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.149425287,0,1.149425287,0,0,0,0,0,0,0,0,0,0
"6","Singapore","Djunk",6,1.825,0.557614484,-1.328971776,0,0,0.671516508,0,0,0,0,0,0,0,0,0,0,0.111919418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503637381,1.902630106
"7","Singapore","Hantu",1,2.456,15.19557676,12.35416717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.099348534,59.73127036,0,0,0,0,0,0,1.343648208,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11237785,0,0,9.93485342
"8","Singapore","Hantu",2,2.398,9.728117296,7.08922851,0,0,0,0,0,0,0,0,0,1.918265221,0,0,0,0,0,1.918265221,19.01584654,0,0,0,0,0,2.168473728,0,0.667222686,0,0,0,0,0,1.834862385,7.464553795,4.420350292,3.669724771,1.584653878,0,0,4.962468724,0,0,0
"9","Singapore","Hantu",3,1.977,3.512256478,1.293968592,0,0,0,0,0,0,2.175012645,0,0,0,0,2.276176024,0,0.657561963,0,3.641881639,0,0,0,0,0,0,0,0,3.894790086,0,0,0,0,0,4.45118867,0,1.972685888,2.427921093,0,0,0,5.816894284,0,0,0
"10","Singapore","Hantu",4,2.412,3.193714848,0.475003962,0,0,0,0,0,0,0,0,0,5.099502488,0,0.912106136,0,0,0.746268657,0.414593698,5.597014925,0,0,0,0,0,0,1.658374793,2.404643449,0,0,0,0,0,0,0.995024876,0,0.787728027,0,0,0,1.160862355,0,0,0
