Site,Scen,v_accret,Lower LV,Mean,Upper LV
TPT,Historical,1.071824368,-0.628175632,-1.928175632,-3.228175632
TPT,Historical,1.354690626,-0.345309374,-1.645309374,-2.945309374
TPT,Historical,1.227146328,-0.472853672,-1.772853672,-3.072853672
TPT,Historical,2.960482797,1.260482797,-0.039517203,-1.339517203
TPT,Historical,1.375824333,-0.324175667,-1.624175667,-2.924175667
TPT,Historical,1.17142741,-0.52857259,-1.82857259,-3.12857259
P. Satuma,Historical,0.486312569,-1.213687431,-2.513687431,-3.813687431
P. Satuma,Historical,0.086508838,-1.613491162,-2.913491162,-4.213491162
P. Satuma,Historical,1.363786741,-0.336213259,-1.636213259,-2.936213259
P. Satuma,Historical,1.428260737,-0.271739263,-1.571739263,-2.871739263
P. Satuma,Historical,1.802189543,0.102189543,-1.197810457,-2.497810457
P. Satuma,Historical,1.137206246,-0.562793754,-1.862793754,-3.162793754
P. Hantu,Historical,4.484436191,2.784436191,1.484436191,0.184436191
P. Hantu,Historical,0.865407664,-0.834592336,-2.134592336,-3.434592336
P. Hantu,Historical,0.7247737,-0.9752263,-2.2752263,-3.5752263
P. Hantu,Historical,0.751482886,-0.948517114,-2.248517114,-3.548517114
P. Hantu,Historical,0.359245341,-1.340754659,-2.640754659,-3.940754659
P. Hantu,Historical,1.407260024,-0.292739976,-1.592739976,-2.892739976
P. Semakau,Historical,2.647048767,0.947048767,-0.352951233,-1.652951233
P. Semakau,Historical,2.339267749,0.639267749,-0.660732251,-1.960732251
P. Semakau,Historical,0.656921082,-1.043078918,-2.343078918,-3.643078918
P. Semakau,Historical,1.935286793,0.235286793,-1.064713207,-2.364713207
P. Semakau,Historical,1.585823986,-0.114176014,-1.414176014,-2.714176014
P. Semakau,Historical,1.894688837,0.194688837,-1.105311163,-2.405311163
P. Jong,Historical,-0.062167374,-1.762167374,-3.062167374,-4.362167374
P. Jong,Historical,0.113042196,-1.586957804,-2.886957804,-4.186957804
P. Jong,Historical,0.781722354,-0.918277646,-2.218277646,-3.518277646
P. Jong,Historical,-0.164951931,-1.864951931,-3.164951931,-4.464951931
P. Jong,Historical,-0.073864632,-1.773864632,-3.073864632,-4.373864632
P. Jong,Historical,-0.038271582,-1.738271582,-3.038271582,-4.338271582
Sisters,Historical,1.607660721,-0.092339279,-1.392339279,-2.692339279
Sisters,Historical,1.423010751,-0.276989249,-1.576989249,-2.876989249
Sisters,Historical,0.848061319,-0.851938681,-2.151938681,-3.451938681
Sisters,Historical,0.433981629,-1.266018371,-2.566018371,-3.866018371
