Site,Scen,v_accret,Lower LV,Mean,Upper LV
P. Satuma,Historical,0.588512569,-1.111487431,-2.411487431,-3.711487431
P. Satuma,Historical,0.188708838,-1.511291162,-2.811291162,-4.111291162
P. Satuma,Historical,1.534120074,-0.165879926,-1.465879926,-2.765879926
P. Satuma,Historical,1.530460737,-0.169539263,-1.469539263,-2.769539263
P. Satuma,Historical,1.972522877,0.272522877,-1.027477123,-2.327477123
P. Satuma,Historical,1.239406246,-0.460593754,-1.760593754,-3.060593754
P. Hantu,Historical,6.285102858,4.585102858,3.285102858,1.985102858
P. Hantu,Historical,1.945807664,0.245807664,-1.054192336,-2.354192336
P. Hantu,Historical,1.8051737,0.1051737,-1.1948263,-2.4948263
P. Hantu,Historical,1.831882886,0.131882886,-1.168117114,-2.468117114
P. Hantu,Historical,1.439645341,-0.260354659,-1.560354659,-2.860354659
P. Hantu,Historical,3.207926691,1.507926691,0.207926691,-1.092073309
P. Semakau,Historical,3.790715434,2.090715434,0.790715434,-0.509284566
P. Semakau,Historical,3.482934416,1.782934416,0.482934416,-0.817065584
P. Semakau,Historical,1.343121082,-0.356878918,-1.656878918,-2.956878918
P. Semakau,Historical,3.078953459,1.378953459,0.078953459,-1.221046541
P. Semakau,Historical,2.729490652,1.029490652,-0.270509348,-1.570509348
P. Semakau,Historical,3.038355504,1.338355504,0.038355504,-1.261644496
Kusu,Historical,3.149308703,1.449308703,0.149308703,-1.150691297
Kusu,Historical,4.397677377,2.697677377,1.397677377,0.097677377
Kusu,Historical,2.34921112,0.64921112,-0.65078888,-1.95078888
Kusu,Historical,2.775008947,1.075008947,-0.224991053,-1.524991053
Kusu,Historical,5.712865562,4.012865562,2.712865562,1.412865562
Kusu,Historical,6.940441615,5.240441615,3.940441615,2.640441615
P. Satuma,RCP 4.5,0.588512569,-2.461487431,-4.881487431,-7.091487431
P. Satuma,RCP 4.5,0.188708838,-2.861291162,-5.281291162,-7.491291162
P. Satuma,RCP 4.5,1.534120074,-1.515879926,-3.935879926,-6.145879926
P. Satuma,RCP 4.5,1.530460737,-1.519539263,-3.939539263,-6.149539263
P. Satuma,RCP 4.5,1.972522877,-1.077477123,-3.497477123,-5.707477123
P. Satuma,RCP 4.5,1.239406246,-1.810593754,-4.230593754,-6.440593754
P. Hantu,RCP 4.5,6.285102858,3.235102858,0.815102858,-1.394897142
P. Hantu,RCP 4.5,1.945807664,-1.104192336,-3.524192336,-5.734192336
P. Hantu,RCP 4.5,1.8051737,-1.2448263,-3.6648263,-5.8748263
P. Hantu,RCP 4.5,1.831882886,-1.218117114,-3.638117114,-5.848117114
P. Hantu,RCP 4.5,1.439645341,-1.610354659,-4.030354659,-6.240354659
P. Hantu,RCP 4.5,3.207926691,0.157926691,-2.262073309,-4.472073309
