,Country,Site,Transect,Rugosity,hcprod_mean,gnet,br_acro,tab_acro,br_por,poc,oth_br,mass_por,mass_oth,enc_por,enc_other,fol,mush,oth,cca_cover,sed_cover,soft_cover,mac_cover,turf_cover,rub_cover,rock_cover,lpave_cover,sand_cover,tot.bare.substrate,other_cover,numb_gen,tot_mass,tot_enc,tot_branch,tot_other,tot_cover,stress,general,weedy,comp,tgnet,v_accret,dist_port,prod_branchinf,prod_mass,prod_enc,prod_oth
1,Singapore,Djunk,1,2.039,0.919715386,-1.91601996,0,0,0,0,0,0,3.534303534,0,2.130977131,0,0,0,13.15340909,0.681818182,0,15.22727273,25.56818182,16.30681818,0,0,4.431818182,20.73863636,0.795454545,2,3.534303534,2.130977131,0,0,5.665280665,5.665280665,0,0,0,-2.22E-16,0.002988071,9.21,0,0.67539453,0.24432085,0.91971539
2,Singapore,Djunk,2,2.174,1.220512196,-1.467979825,0,0,1.624015748,0,0,0,0.541338583,0,2.362204724,0,0,3.395669291,18.27262045,1.380728555,0.646298472,20.29964747,15.39365452,15.04112808,0,0,3.672150411,18.7132785,1.850763807,7,0.541338583,2.362204724,1.624015748,3.395669291,7.923228346,1.57480315,3.937007873,2.411417323,0,0.370211011,0.221634604,9.21,0.31362355,0.10240427,0.11961585,1.2205122
3,Singapore,Djunk,3,2.023,2.434191636,0.026178364,0,0,0,0,0,0,0,0,5.870020964,1.41509434,0,10.7442348,20.23233301,0.451758632,0.419490158,17.03775411,19.07066796,13.87544369,0,0,1.290738948,15.16618264,1.355275895,6,0,5.870020964,0,12.15932914,18.0293501,1.100628931,6.813417188,2.830188679,7.285115301,1.079157031,0.890314762,9.21,0,0,0.18238177,2.43419164
4,Singapore,Djunk,4,1.763,0.237792403,-1.843958357,0,0,0,0,0,0,0,0,3.493699885,0,0.343642612,0,18.18514453,3.768752287,0,27.29601171,25.68605928,8.671789243,0,0,1.427003293,10.09879254,2.41492865,4,0,3.493699885,0,0.343642612,3.837342497,3.32187858,0.515463917,0,0,0.069583526,-0.099796486,9.21,0,0,0.10238116,0.2377924
5,Singapore,Djunk,5,1.789,0.419570234,-1.390569526,0,0,0,0,0,0,0,0,5.202661827,1.149425287,0,0,18.00724638,2.101449275,0,7.717391304,26.19565217,16.12318841,0,0,4.311594203,20.43478261,1.304347826,3,0,5.202661827,0,1.149425287,6.352087114,5.202661826,1.149425288,0,0,0.422289733,-0.008709187,9.21,0,0,0.29867116,0.41957023
6,Singapore,Djunk,6,1.825,0.557614484,-1.328971776,0,0,0,0,0,0,1.175153889,0,1.902630106,0,0.111919418,0,24.54479243,3.022578296,0,11.50764749,19.00946832,11.79898034,0,0,5.498907502,17.29788784,5.24399126,4,1.175153889,1.902630106,0,0.111919418,3.189703413,1.287073307,1.902630106,0,0,0.461875803,0.026883863,9.21,0,0.34306053,0.15232913,0.55761448
8,Singapore,Hantu,2,2.398,9.728117296,7.08922851,0,0,3.211009174,0,0,1.75145955,5.587989992,0,4.879065888,9.716430359,0,24.47873228,0,0,0.575184881,10.39441249,32.4157765,8.50451931,0,0,1.109285127,9.613804437,15.20131471,9,7.339449542,4.879065888,3.211009174,34.19516264,49.62468724,10.42535446,31.56797331,7.631359466,0,2.303109802,4.470435366,7.55,0.73178827,2.07844058,0.28782251,9.7281173
9,Singapore,Hantu,3,1.977,3.512256478,1.293968592,0,0,2.731411229,0,0,3.085483055,5.209914011,0,11.17855336,4.45118867,0.657561963,0,0.877808989,0,0,18.01264045,34.26966292,6.25,0,0,2.808988764,9.058988764,11.97331461,10,8.295397066,11.17855336,2.731411229,5.108750633,27.31411229,14.26403642,8.345978756,4.704097116,0,1.437459928,0.857007169,7.55,0.51320216,1.93520125,0.41646645,3.51225648
10,Singapore,Hantu,4,2.412,3.193714848,0.475003962,0,0,1.160862355,0,0.746268657,0,4.270315091,0,8.001658375,0,0,5.597014925,0.636042403,0,0,7.879858657,25.93639576,5.19434629,0,0,13.71024735,18.90459364,6.113074205,9,4.270315091,8.001658375,1.907131012,5.597014925,19.7761194,5.514096185,13.10116086,1.160862355,0,1.221131918,0.716373205,7.55,0.37268766,1.09297155,0.5715256,3.19371485
11,Singapore,Hantu,5,2.148,3.081626418,1.061564332,0,0,0,0,0,0,1.955307263,0,13.73370577,2.048417132,0,10.75418994,0.523012552,0,0,15.79497908,28.52161785,15.55090656,0,0,7.391910739,22.94281729,2.092050209,7,1.955307263,13.73370577,0,12.80260707,28.49162011,7.91433892,19.08752328,1.489757914,0,1.380674673,0.743082391,7.55,0,0.39638123,0.7257536,3.08162642
